class name,Chinese time,Au time,Class,School,Topic,Fixed class,Fixed Teacher,Fixed Studio,Teacher,Studio,Uniform,Special Class,Note,sso check,search class,澳洲反馈信息
吉林长春中海CCZH-RSK3010-2,19:00-19:30,21：00-21：30,K3010-2,吉林长春中海CCZH-RS,K3_09_Phonics Review（b/d/i/l）,,,,PETER K,dorcas 5,Rise Blue,,CC014,,吉林长春中海CCZH-RSK3010-2,
吉林长春中海CCZH-RSK3011-2,19:00-19:30,21：00-21：30,K3011-2,吉林长春中海CCZH-RS,K3_25_How to Read Calendar ,,,,PARISA,dorcas 6,Rise Blue,,CC010,,吉林长春中海CCZH-RSK3011-2,
吉林长春中海CCZH-RSK3008-2,19:00-19:30,21：00-21：30,K3008-2,吉林长春中海CCZH-RS,K3_20_Problem Solving: A party at Dog’s House,,,,JORDAN K,dorcas 17,Rise Blue,,CC009,,吉林长春中海CCZH-RSK3008-2,
吉林长春新生活CCXSH-RSK3048-1,16:45-17:15,18：45-19：15,K3048-1,吉林长春新生活CCXSH-RS,"K3_09_phonics review(b,d,i,l)",,,,JORDAN K,dorcas 17,Rise Blue,,CC041,,吉林长春新生活CCXSH-RSK3048-1,
吉林长春新生活CCXSH-RSK2069-1,16:45-17:15,18：45-19：15,K2069-1,吉林长春新生活CCXSH-RS,K2_20_Four Seasons,,,,ALLEN D,dorcas 2,Rise Blue,,CC038,,吉林长春新生活CCXSH-RSK2069-1,
吉林长春新生活CCXSH-RSK3046-1,16:45-17:15,18：45-19：15,K3046-1,吉林长春新生活CCXSH-RS,K3_07_Triangles and Rectangles,,,,JOSH,dorcas 16,Rise Blue,,CC039,,吉林长春新生活CCXSH-RSK3046-1,
吉林长春新生活CCXSH-RSS1024-1,17:30-18:00,19：30-20：00,S1024-1,吉林长春新生活CCXSH-RS,S1_02_Pets,,,,MANYA,dorcas 7,Rise Blue,,CC042,,吉林长春新生活CCXSH-RSS1024-1,
吉林长春新生活CCXSH-RSK1075-1,18:15-18:45,20：15-20：45,K1075-1,吉林长春新生活CCXSH-RS,K1_22_Animals,,,,HARRISON,dorcas 19,Rise Blue,,CC041,,吉林长春新生活CCXSH-RSK1075-1,
吉林长春新生活CCXSH-RSK2069-2,19:00-19:30,21：00-21：30,K2069-2,吉林长春新生活CCXSH-RS,K2_20_Four Seasons,,,,INNA,dorcas 18,Rise Blue,,CC042,,吉林长春新生活CCXSH-RSK2069-2,
吉林长春汇集CCHJ-RSS1014-1,16:45-17:15,18：45-19：15,S1014-1,吉林长春汇集CCHJ-RS,S1_18_The Parts of a Plant,,,,PETER K,dorcas 5,Rise Blue,,CC023,,吉林长春汇集CCHJ-RSS1014-1,
吉林长春汇集CCHJ-RSS1014-2,19:00-19:30,21：00-21：30,S1014-2,吉林长春汇集CCHJ-RS,S1_18_The Parts of a Plant,,,,HARRISON,dorcas 19,Rise Blue,,CC023,,吉林长春汇集CCHJ-RSS1014-2,
吉林长春摩天CCMT-RSK1004-1,17:30-18:00,19：30-20：00,K1004-1,吉林长春摩天CCMT-RS,K1_08_Weather,,,,JOSH,dorcas 16,Rise Blue,,CC001,,吉林长春摩天CCMT-RSK1004-1,
吉林长春摩天CCMT-RSK1003-1,17:30-18:00,19：30-20：00,K1003-1,吉林长春摩天CCMT-RS,K1_20_Prepositions,,,,ALLEN D,dorcas 2,Rise Blue,,CC003,,吉林长春摩天CCMT-RSK1003-1,
吉林长春摩天CCMT-RSK1004-2,18:15-18:45,20：15-20：45,K1004-2,吉林长春摩天CCMT-RS,K1_08_Weather,,,,INNA,dorcas 18,Rise Blue,,CC002,,吉林长春摩天CCMT-RSK1004-2,
吉林长春摩天CCMT-RSK1003-2,18:15-18:45,20：15-20：45,K1003-2,吉林长春摩天CCMT-RS,K1_20_Prepositions,,,,LIAM,dorcas 14,Rise Blue,,CC004,,吉林长春摩天CCMT-RSK1003-2,
江苏镇江常发ZJCF-RSK1089,16:45-17:15,18：45-19：15,K1089,江苏镇江常发ZJCF-RS,K1_15_Musical Instruments1,,,,MANYA,dorcas 7,Rise Blue,班课,外教班课,,江苏镇江常发ZJCF-RSK1089,
江苏镇江常发ZJCF-RSK3036,19:00-19:30,21：00-21：30,K3036,江苏镇江常发ZJCF-RS,"K3_34_The Ball, the Bat and the Mitt",,,,RACHEAL B,dorcas 37,Rise Blue,班课,外教班课,,江苏镇江常发ZJCF-RSK3036,
广东东莞GDDG-RSSSL007,17:30-18:00,19：30-20：00,SSL007,广东东莞GDDG-RS,S2_20_Reading Skill_Cause and Effect,,,,JORDAN K,dorcas 17,Rise Blue,,,,广东东莞GDDG-RSSSL007,
江苏南通中南NTZN-RSK1011,19:00-19:30,21：00-21：30,K1011,江苏南通中南NTZN-RS,"K1_35_Orange, Green and Purple",,,,LIAM,dorcas 14,Rise Blue,,,,江苏南通中南NTZN-RSK1011,
广东中山体育路ZSTYL-RSK3023(A),19:00-19:30,21：00-21：30,K3023(A),广东中山体育路ZSTYL-RS,K3_07_Triangles and Rectangles,,,,CAMC,dorcas 10,Rise Blue,,"FT（外教课）RISE-ZSTYL-001
",,广东中山体育路ZSTYL-RSK3023(A),
江苏南通五洲NTWZ-RSk2021,18:15-18:45,20：15-20：45,k2021,江苏南通五洲NTWZ-RS,K2_29_I like to travel,,,,MANYA,dorcas 7,Rise Blue,,,,江苏南通五洲NTWZ-RSk2021,
江苏南通五洲NTWZ-RSk2018,19:00-19:30,21：00-21：30,k2018,江苏南通五洲NTWZ-RS,K2_21_Skip Counting by Tens and Fives,,,,ALLEN D,dorcas 2,Rise Blue,,,,江苏南通五洲NTWZ-RSk2018,
陕西汉中明珠HZMZ-RSK1005,19:00-19:30,21：00-21：30,K1005,陕西汉中明珠HZMZ-RS,K1_13_Classroom Objects,,,,MANYA,dorcas 7,Rise Blue,,,,陕西汉中明珠HZMZ-RSK1005,
"荣光国际RGGJ2年级9班
Grade 2 (9)",14:20-15:00,16:20-17:00,"2年级9班
Grade 2 (9)",荣光国际RGGJ,"BE2U7_Content_02
Different jobs, different times pt2",,,,MAROUSSIA,dorcas 33,Aienglish Green,,,,"荣光国际RGGJ2年级9班
Grade 2 (9)",
"荣光国际RGGJ2年级10班
Grade 2 (10)",15:15-15:55,17:15-17:55,"2年级10班
Grade 2 (10)",荣光国际RGGJ,"BE2U6_Culture_02
Different jobs, different times pt2",,,,MAROUSSIA,dorcas 33,Aienglish Green,,,,"荣光国际RGGJ2年级10班
Grade 2 (10)",
